@HD	VN:1.0	SO:coordinate
@SQ	SN:ERCC-00002	LN:1061
@SQ	SN:ERCC-00003	LN:1023
@SQ	SN:ERCC-00004	LN:523
@SQ	SN:ERCC-00007	LN:1135
@SQ	SN:ERCC-00009	LN:984
@SQ	SN:ERCC-00012	LN:994
@SQ	SN:ERCC-00013	LN:808
@SQ	SN:ERCC-00014	LN:1957
@SQ	SN:ERCC-00016	LN:844
@SQ	SN:ERCC-00017	LN:1136
@SQ	SN:ERCC-00018	LN:1032
@SQ	SN:ERCC-00019	LN:644
@SQ	SN:ERCC-00022	LN:751
@SQ	SN:ERCC-00023	LN:273
@SQ	SN:ERCC-00024	LN:536
@SQ	SN:ERCC-00025	LN:1994
@SQ	SN:ERCC-00028	LN:1130
@SQ	SN:ERCC-00031	LN:1138
@SQ	SN:ERCC-00033	LN:2022
@SQ	SN:ERCC-00034	LN:1019
@SQ	SN:ERCC-00035	LN:1130
@SQ	SN:ERCC-00039	LN:740
@SQ	SN:ERCC-00040	LN:744
@SQ	SN:ERCC-00041	LN:1122
@SQ	SN:ERCC-00042	LN:1023
@SQ	SN:ERCC-00043	LN:1023
@SQ	SN:ERCC-00044	LN:1156
@SQ	SN:ERCC-00046	LN:522
@SQ	SN:ERCC-00048	LN:992
@SQ	SN:ERCC-00051	LN:274
@SQ	SN:ERCC-00053	LN:1023
@SQ	SN:ERCC-00054	LN:274
@SQ	SN:ERCC-00057	LN:1021
@SQ	SN:ERCC-00058	LN:1136
@SQ	SN:ERCC-00059	LN:525
@SQ	SN:ERCC-00060	LN:523
@SQ	SN:ERCC-00061	LN:1136
@SQ	SN:ERCC-00062	LN:1023
@SQ	SN:ERCC-00067	LN:644
@SQ	SN:ERCC-00069	LN:1137
@SQ	SN:ERCC-00071	LN:642
@SQ	SN:ERCC-00073	LN:603
@SQ	SN:ERCC-00074	LN:522
@SQ	SN:ERCC-00075	LN:1023
@SQ	SN:ERCC-00076	LN:642
@SQ	SN:ERCC-00077	LN:273
@SQ	SN:ERCC-00078	LN:993
@SQ	SN:ERCC-00079	LN:644
@SQ	SN:ERCC-00081	LN:534
@SQ	SN:ERCC-00083	LN:1022
@SQ	SN:ERCC-00084	LN:994
@SQ	SN:ERCC-00085	LN:844
@SQ	SN:ERCC-00086	LN:1020
@SQ	SN:ERCC-00092	LN:1124
@SQ	SN:ERCC-00095	LN:521
@SQ	SN:ERCC-00096	LN:1107
@SQ	SN:ERCC-00097	LN:523
@SQ	SN:ERCC-00098	LN:1143
@SQ	SN:ERCC-00099	LN:1350
@SQ	SN:ERCC-00104	LN:2022
@SQ	SN:ERCC-00108	LN:1022
@SQ	SN:ERCC-00109	LN:536
@SQ	SN:ERCC-00111	LN:994
@SQ	SN:ERCC-00112	LN:1136
@SQ	SN:ERCC-00113	LN:840
@SQ	SN:ERCC-00116	LN:1991
@SQ	SN:ERCC-00117	LN:1136
@SQ	SN:ERCC-00120	LN:536
@SQ	SN:ERCC-00123	LN:1022
@SQ	SN:ERCC-00126	LN:1118
@SQ	SN:ERCC-00128	LN:1133
@SQ	SN:ERCC-00130	LN:1059
@SQ	SN:ERCC-00131	LN:771
@SQ	SN:ERCC-00134	LN:274
@SQ	SN:ERCC-00136	LN:1033
@SQ	SN:ERCC-00137	LN:537
@SQ	SN:ERCC-00138	LN:1024
@SQ	SN:ERCC-00142	LN:493
@SQ	SN:ERCC-00143	LN:784
@SQ	SN:ERCC-00144	LN:538
@SQ	SN:ERCC-00145	LN:1042
@SQ	SN:ERCC-00147	LN:1023
@SQ	SN:ERCC-00148	LN:494
@SQ	SN:ERCC-00150	LN:743
@SQ	SN:ERCC-00154	LN:537
@SQ	SN:ERCC-00156	LN:494
@SQ	SN:ERCC-00157	LN:1019
@SQ	SN:ERCC-00158	LN:1027
@SQ	SN:ERCC-00160	LN:743
@SQ	SN:ERCC-00162	LN:523
@SQ	SN:ERCC-00163	LN:543
@SQ	SN:ERCC-00164	LN:1022
@SQ	SN:ERCC-00165	LN:872
@SQ	SN:ERCC-00168	LN:1024
@SQ	SN:ERCC-00170	LN:1023
@SQ	SN:ERCC-00171	LN:505
@SQ	SN:chr1	LN:249250621
@SQ	SN:chr10	LN:135534747
@SQ	SN:chr11	LN:135006516
@SQ	SN:chr12	LN:133851895
@SQ	SN:chr13	LN:115169878
@SQ	SN:chr14	LN:107349540
@SQ	SN:chr15	LN:102531392
@SQ	SN:chr16	LN:90354753
@SQ	SN:chr17	LN:81195210
@SQ	SN:chr18	LN:78077248
@SQ	SN:chr19	LN:59128983
@SQ	SN:chr2	LN:243199373
@SQ	SN:chr20	LN:63025520
@SQ	SN:chr21	LN:48129895
@SQ	SN:chr22	LN:51304566
@SQ	SN:chr3	LN:198022430
@SQ	SN:chr4	LN:191154276
@SQ	SN:chr5	LN:180915260
@SQ	SN:chr6	LN:171115067
@SQ	SN:chr7	LN:159138663
@SQ	SN:chr8	LN:146364022
@SQ	SN:chr9	LN:141213431
@SQ	SN:chrM	LN:16571
@SQ	SN:chrX	LN:155270560
@SQ	SN:chrY	LN:59373566
@PG	ID:TopHat	VN:2.0.8	CL:/tgcapps/tophat/tophat-2.0.8.Linux_x86_64/tophat -p 16 -z0 -o /archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set16/tophat/novel_juncs/DDX52_BGHLV16_14 -a 8 -m 0 --min-intron-length 20 --max-intron-length 1000000 --read-edit-dist 4 --read-mismatches 4 -g 20 --no-discordant --no-mixed --library-type fr-firststrand --transcriptome-index /archive/TGCore_User_Data/ENCODE/ENCODE_ANNOTATIONS/gencode.v19.male.spikeins /archive/TGCapps_data/bowtie2_indexes/male.spikeins.hg19 /archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set16/fastq/DDX52_BGHLV16_14_TGACCA_L006_R1_001.fastq.gz /archive/TGCore_User_Data/ENCODE/ENCODE_DATA/set16/fastq/DDX52_BGHLV16_14_TGACCA_L006_R2_001.fastq.gz
@PG	ID:Bowtie	VN:2.1.0.0
@PG	ID:Samtools	VN:0.1.17.0
@CO	ID:Gencode	VN:19
