	depth	names
chr12:51634713-51634714:+	3	D80KHJN1:241:C5HF7ACXX:6:1213:1601:93367,D80KHJN1:241:C5HF7ACXX:6:2206:11195:94711,D80KHJN1:241:C5HF7ACXX:6:1204:9078:22226
chr15:42521018-42521019:-	39	D80KHJN1:241:C5HF7ACXX:6:1102:15245:50065,D80KHJN1:241:C5HF7ACXX:6:2106:5120:36880,D80KHJN1:241:C5HF7ACXX:6:2215:7874:70434,D80KHJN1:241:C5HF7ACXX:6:2102:18651:63664,D80KHJN1:241:C5HF7ACXX:6:1107:19449:52700,D80KHJN1:241:C5HF7ACXX:6:1307:14057:94546,D80KHJN1:241:C5HF7ACXX:6:2112:20364:55303,D80KHJN1:241:C5HF7ACXX:6:2208:11948:5530,D80KHJN1:241:C5HF7ACXX:6:1108:9679:10179,D80KHJN1:241:C5HF7ACXX:6:1108:9679:10179,D80KHJN1:241:C5HF7ACXX:6:1210:11113:11485,D80KHJN1:241:C5HF7ACXX:6:1202:18854:31952,D80KHJN1:241:C5HF7ACXX:6:1212:19312:25524,D80KHJN1:241:C5HF7ACXX:6:2103:19954:45608,D80KHJN1:241:C5HF7ACXX:6:2116:7730:3911,D80KHJN1:241:C5HF7ACXX:6:1110:17151:42294,D80KHJN1:241:C5HF7ACXX:6:1214:15161:84943,D80KHJN1:241:C5HF7ACXX:6:1312:5843:8884,D80KHJN1:241:C5HF7ACXX:6:1207:5543:35269,D80KHJN1:241:C5HF7ACXX:6:1213:5265:48267,D80KHJN1:241:C5HF7ACXX:6:1302:17171:87488,D80KHJN1:241:C5HF7ACXX:6:2103:18792:84577,D80KHJN1:241:C5HF7ACXX:6:2206:5005:99053,D80KHJN1:241:C5HF7ACXX:6:2213:13894:36595,D80KHJN1:241:C5HF7ACXX:6:2103:19954:45608,D80KHJN1:241:C5HF7ACXX:6:1210:14589:79999,D80KHJN1:241:C5HF7ACXX:6:2209:11640:55508,D80KHJN1:241:C5HF7ACXX:6:1110:17151:42294,D80KHJN1:241:C5HF7ACXX:6:2213:13894:36595,D80KHJN1:241:C5HF7ACXX:6:1309:10123:69738,D80KHJN1:241:C5HF7ACXX:6:1214:15161:84943,D80KHJN1:241:C5HF7ACXX:6:1106:19014:34678,D80KHJN1:241:C5HF7ACXX:6:1105:13447:8871,D80KHJN1:241:C5HF7ACXX:6:2215:2596:57174,D80KHJN1:241:C5HF7ACXX:6:1306:1094:82682,D80KHJN1:241:C5HF7ACXX:6:1312:5843:8884,D80KHJN1:241:C5HF7ACXX:6:2115:16146:42177,D80KHJN1:241:C5HF7ACXX:6:1309:9838:64291,D80KHJN1:241:C5HF7ACXX:6:2116:7730:3911
chr16:24835241-24835242:+	1	D80KHJN1:241:C5HF7ACXX:6:2314:13655:89175
chr16:67227073-67227074:+	38	D80KHJN1:241:C5HF7ACXX:6:1312:18719:24604,D80KHJN1:241:C5HF7ACXX:6:1214:15231:85495,D80KHJN1:241:C5HF7ACXX:6:1315:18232:44196,D80KHJN1:241:C5HF7ACXX:6:2304:6448:71565,D80KHJN1:241:C5HF7ACXX:6:1101:12599:78822,D80KHJN1:241:C5HF7ACXX:6:1204:11786:49892,D80KHJN1:241:C5HF7ACXX:6:2313:2997:33141,D80KHJN1:241:C5HF7ACXX:6:1101:11294:59296,D80KHJN1:241:C5HF7ACXX:6:1105:17620:2382,D80KHJN1:241:C5HF7ACXX:6:1204:6039:22450,D80KHJN1:241:C5HF7ACXX:6:1209:7959:84051,D80KHJN1:241:C5HF7ACXX:6:1315:1375:63107,D80KHJN1:241:C5HF7ACXX:6:1304:6718:74390,D80KHJN1:241:C5HF7ACXX:6:1205:10142:76478,D80KHJN1:241:C5HF7ACXX:6:2115:12556:25381,D80KHJN1:241:C5HF7ACXX:6:2205:18481:47120,D80KHJN1:241:C5HF7ACXX:6:1114:9815:51372,D80KHJN1:241:C5HF7ACXX:6:1210:19342:44054,D80KHJN1:241:C5HF7ACXX:6:2206:7942:57109,D80KHJN1:241:C5HF7ACXX:6:2101:5687:25653,D80KHJN1:241:C5HF7ACXX:6:2305:16997:5870,D80KHJN1:241:C5HF7ACXX:6:1214:8003:8522,D80KHJN1:241:C5HF7ACXX:6:1105:17620:2382,D80KHJN1:241:C5HF7ACXX:6:1310:20879:66651,D80KHJN1:241:C5HF7ACXX:6:1204:6039:22450,D80KHJN1:241:C5HF7ACXX:6:1205:2394:89672,D80KHJN1:241:C5HF7ACXX:6:1315:18232:44196,D80KHJN1:241:C5HF7ACXX:6:2304:6448:71565,D80KHJN1:241:C5HF7ACXX:6:2313:2997:33141,D80KHJN1:241:C5HF7ACXX:6:1306:6212:47062,D80KHJN1:241:C5HF7ACXX:6:2116:14326:3553,D80KHJN1:241:C5HF7ACXX:6:1114:18023:84361,D80KHJN1:241:C5HF7ACXX:6:2305:14803:21412,D80KHJN1:241:C5HF7ACXX:6:1302:1148:66563,D80KHJN1:241:C5HF7ACXX:6:1114:4752:40553,D80KHJN1:241:C5HF7ACXX:6:1201:17151:61113,D80KHJN1:241:C5HF7ACXX:6:1208:12246:35582,D80KHJN1:241:C5HF7ACXX:6:1213:17540:80578
chr17:42758011-42758012:-	48	D80KHJN1:241:C5HF7ACXX:6:2305:15350:36565,D80KHJN1:241:C5HF7ACXX:6:2306:18920:45729,D80KHJN1:241:C5HF7ACXX:6:2209:16101:40953,D80KHJN1:241:C5HF7ACXX:6:1106:10002:6092,D80KHJN1:241:C5HF7ACXX:6:1111:15271:31229,D80KHJN1:241:C5HF7ACXX:6:1203:10900:64937,D80KHJN1:241:C5HF7ACXX:6:1305:9967:22816,D80KHJN1:241:C5HF7ACXX:6:2313:2244:23067,D80KHJN1:241:C5HF7ACXX:6:2309:9493:33380,D80KHJN1:241:C5HF7ACXX:6:2315:14404:21278,D80KHJN1:241:C5HF7ACXX:6:2303:7641:9378,D80KHJN1:241:C5HF7ACXX:6:1103:2156:78382,D80KHJN1:241:C5HF7ACXX:6:2206:11632:53216,D80KHJN1:241:C5HF7ACXX:6:2214:2613:80142,D80KHJN1:241:C5HF7ACXX:6:1211:5379:85357,D80KHJN1:241:C5HF7ACXX:6:1112:6441:35095,D80KHJN1:241:C5HF7ACXX:6:1306:16709:42696,D80KHJN1:241:C5HF7ACXX:6:2308:9065:4063,D80KHJN1:241:C5HF7ACXX:6:1206:21189:24491,D80KHJN1:241:C5HF7ACXX:6:2103:5092:54368,D80KHJN1:241:C5HF7ACXX:6:2112:8843:13288,D80KHJN1:241:C5HF7ACXX:6:1107:7083:9860,D80KHJN1:241:C5HF7ACXX:6:2211:13492:6330,D80KHJN1:241:C5HF7ACXX:6:1108:4483:89324,D80KHJN1:241:C5HF7ACXX:6:1203:10900:64937,D80KHJN1:241:C5HF7ACXX:6:2303:19991:32896,D80KHJN1:241:C5HF7ACXX:6:2112:21082:36026,D80KHJN1:241:C5HF7ACXX:6:2116:4724:18107,D80KHJN1:241:C5HF7ACXX:6:1109:2422:85683,D80KHJN1:241:C5HF7ACXX:6:1303:20630:77397,D80KHJN1:241:C5HF7ACXX:6:1310:12002:55744,D80KHJN1:241:C5HF7ACXX:6:2216:14467:53389,D80KHJN1:241:C5HF7ACXX:6:1210:19084:68135,D80KHJN1:241:C5HF7ACXX:6:1305:8159:97131,D80KHJN1:241:C5HF7ACXX:6:1103:16311:80331,D80KHJN1:241:C5HF7ACXX:6:1116:13688:49563,D80KHJN1:241:C5HF7ACXX:6:1302:8935:13553,D80KHJN1:241:C5HF7ACXX:6:2211:8267:4961,D80KHJN1:241:C5HF7ACXX:6:1111:9372:15341,D80KHJN1:241:C5HF7ACXX:6:2309:4488:52120,D80KHJN1:241:C5HF7ACXX:6:1105:2082:4627,D80KHJN1:241:C5HF7ACXX:6:1116:9186:26586,D80KHJN1:241:C5HF7ACXX:6:1202:3365:71951,D80KHJN1:241:C5HF7ACXX:6:1316:2391:16068,D80KHJN1:241:C5HF7ACXX:6:2315:2304:98502,D80KHJN1:241:C5HF7ACXX:6:2303:7641:9378,D80KHJN1:241:C5HF7ACXX:6:2314:6296:21181,D80KHJN1:241:C5HF7ACXX:6:2314:6079:44079
chr17:73662651-73662652:-	29	D80KHJN1:241:C5HF7ACXX:6:1114:20570:36908,D80KHJN1:241:C5HF7ACXX:6:1206:8706:54517,D80KHJN1:241:C5HF7ACXX:6:2201:1802:66037,D80KHJN1:241:C5HF7ACXX:6:1309:6248:30133,D80KHJN1:241:C5HF7ACXX:6:2111:3940:39317,D80KHJN1:241:C5HF7ACXX:6:2109:1936:15034,D80KHJN1:241:C5HF7ACXX:6:2313:19528:10193,D80KHJN1:241:C5HF7ACXX:6:1201:17534:22819,D80KHJN1:241:C5HF7ACXX:6:2310:15342:77474,D80KHJN1:241:C5HF7ACXX:6:2310:15342:77474,D80KHJN1:241:C5HF7ACXX:6:2315:21092:25880,D80KHJN1:241:C5HF7ACXX:6:1309:17833:42403,D80KHJN1:241:C5HF7ACXX:6:1111:18644:94501,D80KHJN1:241:C5HF7ACXX:6:1106:13939:3480,D80KHJN1:241:C5HF7ACXX:6:1303:9187:25197,D80KHJN1:241:C5HF7ACXX:6:1204:14346:16173,D80KHJN1:241:C5HF7ACXX:6:1315:3959:63075,D80KHJN1:241:C5HF7ACXX:6:2109:1936:15034,D80KHJN1:241:C5HF7ACXX:6:2304:19278:49881,D80KHJN1:241:C5HF7ACXX:6:1102:8613:5284,D80KHJN1:241:C5HF7ACXX:6:2116:10046:77291,D80KHJN1:241:C5HF7ACXX:6:1202:15829:65177,D80KHJN1:241:C5HF7ACXX:6:2111:3940:39317,D80KHJN1:241:C5HF7ACXX:6:1304:9911:81684,D80KHJN1:241:C5HF7ACXX:6:1105:14498:14859,D80KHJN1:241:C5HF7ACXX:6:1307:8660:98369,D80KHJN1:241:C5HF7ACXX:6:1309:17833:42403,D80KHJN1:241:C5HF7ACXX:6:2116:10046:77291,D80KHJN1:241:C5HF7ACXX:6:1102:8613:5284
chr17:76799712-76799713:-	8	D80KHJN1:241:C5HF7ACXX:6:1108:5604:89764,D80KHJN1:241:C5HF7ACXX:6:1205:17488:5302,D80KHJN1:241:C5HF7ACXX:6:1306:5957:9589,D80KHJN1:241:C5HF7ACXX:6:1309:2550:100001,D80KHJN1:241:C5HF7ACXX:6:1315:12420:15392,D80KHJN1:241:C5HF7ACXX:6:1210:8331:93634,D80KHJN1:241:C5HF7ACXX:6:1313:11394:22760,D80KHJN1:241:C5HF7ACXX:6:2207:2712:25170
chr18:77726678-77726679:+	8	D80KHJN1:241:C5HF7ACXX:6:1110:11710:82099,D80KHJN1:241:C5HF7ACXX:6:2212:14398:89968,D80KHJN1:241:C5HF7ACXX:6:2110:10604:19515,D80KHJN1:241:C5HF7ACXX:6:2211:4153:14878,D80KHJN1:241:C5HF7ACXX:6:1301:11063:26496,D80KHJN1:241:C5HF7ACXX:6:1201:9497:92266,D80KHJN1:241:C5HF7ACXX:6:1209:9099:36168,D80KHJN1:241:C5HF7ACXX:6:1302:11533:6058
chr21:37710244-37710245:+	36	D80KHJN1:241:C5HF7ACXX:6:1306:14721:65897,D80KHJN1:241:C5HF7ACXX:6:2213:11552:11214,D80KHJN1:241:C5HF7ACXX:6:2110:8637:82903,D80KHJN1:241:C5HF7ACXX:6:1213:12672:3352,D80KHJN1:241:C5HF7ACXX:6:1207:11005:53842,D80KHJN1:241:C5HF7ACXX:6:2316:14047:39224,D80KHJN1:241:C5HF7ACXX:6:2316:14023:36750,D80KHJN1:241:C5HF7ACXX:6:1311:8692:19879,D80KHJN1:241:C5HF7ACXX:6:2306:19122:37017,D80KHJN1:241:C5HF7ACXX:6:1102:16547:2760,D80KHJN1:241:C5HF7ACXX:6:1113:15463:58350,D80KHJN1:241:C5HF7ACXX:6:2315:2898:46192,D80KHJN1:241:C5HF7ACXX:6:1209:7800:3209,D80KHJN1:241:C5HF7ACXX:6:2209:15055:35882,D80KHJN1:241:C5HF7ACXX:6:2116:18408:93887,D80KHJN1:241:C5HF7ACXX:6:1304:10369:52903,D80KHJN1:241:C5HF7ACXX:6:1315:1734:51525,D80KHJN1:241:C5HF7ACXX:6:2104:5877:78255,D80KHJN1:241:C5HF7ACXX:6:2115:19622:58496,D80KHJN1:241:C5HF7ACXX:6:2315:14309:78654,D80KHJN1:241:C5HF7ACXX:6:2103:6125:61833,D80KHJN1:241:C5HF7ACXX:6:1311:10769:27223,D80KHJN1:241:C5HF7ACXX:6:1305:12873:76415,D80KHJN1:241:C5HF7ACXX:6:1113:19512:99608,D80KHJN1:241:C5HF7ACXX:6:1301:8433:80811,D80KHJN1:241:C5HF7ACXX:6:2115:3305:91644,D80KHJN1:241:C5HF7ACXX:6:2205:7401:15601,D80KHJN1:241:C5HF7ACXX:6:2312:4694:92781,D80KHJN1:241:C5HF7ACXX:6:1203:14306:84246,D80KHJN1:241:C5HF7ACXX:6:2109:21234:82600,D80KHJN1:241:C5HF7ACXX:6:2110:8637:82903,D80KHJN1:241:C5HF7ACXX:6:2315:2898:46192,D80KHJN1:241:C5HF7ACXX:6:1216:21121:26068,D80KHJN1:241:C5HF7ACXX:6:2109:12031:21147,D80KHJN1:241:C5HF7ACXX:6:2112:11783:70443,D80KHJN1:241:C5HF7ACXX:6:1103:12266:43415
chr2:167060974-167060975:-	40	D80KHJN1:241:C5HF7ACXX:6:2115:7221:43593,D80KHJN1:241:C5HF7ACXX:6:1312:4432:62665,D80KHJN1:241:C5HF7ACXX:6:2204:2332:70885,D80KHJN1:241:C5HF7ACXX:6:1213:6854:23922,D80KHJN1:241:C5HF7ACXX:6:1311:10662:25062,D80KHJN1:241:C5HF7ACXX:6:1206:19629:10662,D80KHJN1:241:C5HF7ACXX:6:1202:8363:77345,D80KHJN1:241:C5HF7ACXX:6:1207:10560:37379,D80KHJN1:241:C5HF7ACXX:6:2101:17719:9692,D80KHJN1:241:C5HF7ACXX:6:1110:15684:74064,D80KHJN1:241:C5HF7ACXX:6:2106:4772:92703,D80KHJN1:241:C5HF7ACXX:6:1312:1631:68789,D80KHJN1:241:C5HF7ACXX:6:2309:19288:87307,D80KHJN1:241:C5HF7ACXX:6:2215:13236:3930,D80KHJN1:241:C5HF7ACXX:6:1313:1251:8098,D80KHJN1:241:C5HF7ACXX:6:2214:20895:4296,D80KHJN1:241:C5HF7ACXX:6:1102:4232:24934,D80KHJN1:241:C5HF7ACXX:6:1113:19947:2398,D80KHJN1:241:C5HF7ACXX:6:1208:19012:11508,D80KHJN1:241:C5HF7ACXX:6:1307:5913:32988,D80KHJN1:241:C5HF7ACXX:6:1309:19570:71845,D80KHJN1:241:C5HF7ACXX:6:2115:20952:32417,D80KHJN1:241:C5HF7ACXX:6:2115:3865:55631,D80KHJN1:241:C5HF7ACXX:6:2115:21055:95820,D80KHJN1:241:C5HF7ACXX:6:2204:2332:70885,D80KHJN1:241:C5HF7ACXX:6:1207:6606:42271,D80KHJN1:241:C5HF7ACXX:6:1205:18010:65045,D80KHJN1:241:C5HF7ACXX:6:1110:15684:74064,D80KHJN1:241:C5HF7ACXX:6:1307:5913:32988,D80KHJN1:241:C5HF7ACXX:6:1309:19570:71845,D80KHJN1:241:C5HF7ACXX:6:2305:16007:19738,D80KHJN1:241:C5HF7ACXX:6:2106:4772:92703,D80KHJN1:241:C5HF7ACXX:6:2115:3865:55631,D80KHJN1:241:C5HF7ACXX:6:1206:18771:28515,D80KHJN1:241:C5HF7ACXX:6:1115:9849:87158,D80KHJN1:241:C5HF7ACXX:6:1313:1251:8098,D80KHJN1:241:C5HF7ACXX:6:2305:16007:19738,D80KHJN1:241:C5HF7ACXX:6:2215:13236:3930,D80KHJN1:241:C5HF7ACXX:6:1202:13987:78482,D80KHJN1:241:C5HF7ACXX:6:1208:19012:11508
